period,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct,left_size,right_size
Last 6 months,MN,tv,stringent,50,0.0259,0.0685,120480.3787,318386.4494
Last 6 months,MO,tv,lenient,50,0.0580,0.0967,296907.3490,494770.4880
Last 6 months,MO,tv,stringent,50,0.0384,0.0967,196259.7759,494770.4880
Last 6 months,MS,tv,lenient,50,0.0201,0.0891,45777.0071,203389.7272
Last 6 months,MS,tv,stringent,50,0.0064,0.0891,14405.6115,203389.7272
Last 6 months,MT,tv,lenient,50,0.0344,0.1005,34210.9139,100165.6357
Last 6 months,MT,tv,stringent,50,0.0243,0.1005,24222.0429,100165.6357
Last 6 months,NC,tv,lenient,50,0.0664,0.0881,626968.6742,831474.6747
Last 6 months,NC,tv,stringent,50,0.0362,0.0881,341091.9706,831474.6747
Last 6 months,ND,tv,lenient,50,0.0201,0.1384,10821.8861,74305.8722
Last 6 months,ND,tv,stringent,50,0.0201,0.1384,10821.8861,74305.8722
Last 6 months,NE,tv,lenient,50,0.0207,0.0943,35282.5414,161225.7805
Last 6 months,NE,tv,stringent,50,0.0110,0.0943,18801.4493,161225.7805
Last 6 months,NH,tv,lenient,50,0.0708,0.0907,94769.6295,120937.2954
Last 6 months,NH,tv,stringent,50,0.0523,0.0907,69947.0758,120937.2954
Last 6 months,NJ,tv,lenient,50,0.0869,0.0849,710086.4523,693519.1792
Last 6 months,NJ,tv,stringent,50,0.0456,0.0849,372935.1330,693519.1792
Last 6 months,NM,tv,lenient,50,0.0831,0.0685,137061.5074,113036.2364
Last 6 months,NM,tv,stringent,50,0.0501,0.0685,82609.8103,113036.2364
Last 6 months,NV,tv,lenient,50,0.0883,0.1069,221209.0084,267864.6977
Last 6 months,NV,tv,stringent,50,0.0574,0.1069,143878.4358,267864.6977
Last 6 months,NY,tv,lenient,50,0.0875,0.0728,1361233.3239,1133817.4051
Last 6 months,NY,tv,stringent,50,0.0513,0.0728,799229.3701,1133817.4051
Last 6 months,OH,tv,lenient,50,0.0650,0.0956,633324.5242,930754.5178
Last 6 months,OH,tv,stringent,50,0.0363,0.0956,353769.7271,930754.5178
Last 6 months,OK,tv,lenient,50,0.0391,0.1028,131822.6441,346187.8543
Last 6 months,OK,tv,stringent,50,0.0223,0.1028,75122.9741,346187.8543
Last 6 months,OR,tv,lenient,50,0.0932,0.0671,309820.3866,223371.1353
Last 6 months,OR,tv,stringent,50,0.0578,0.0671,192226.7035,223371.1353
Last 6 months,PA,tv,lenient,50,0.0678,0.1145,723769.4475,1222933.3480
Last 6 months,PA,tv,stringent,50,0.0434,0.1145,463786.8263,1222933.3480
Last 6 months,RI,tv,lenient,50,0.0707,0.0726,67468.3111,69362.4248
Last 6 months,RI,tv,stringent,50,0.0442,0.0726,42250.3412,69362.4248
Last 6 months,SC,tv,lenient,50,0.0465,0.1108,212178.2798,504728.5975
Last 6 months,SC,tv,stringent,50,0.0277,0.1108,126297.5018,504728.5975
Last 6 months,SD,tv,lenient,50,0.0667,0.2222,43239.2528,145199.8181
Last 6 months,SD,tv,stringent,50,0.0596,0.2222,38486.3995,145199.8181
Last 6 months,TN,tv,lenient,50,0.0559,0.1083,345613.3647,669668.0942
Last 6 months,TN,tv,stringent,50,0.0332,0.1083,205160.1774,669668.0942
Last 6 months,TX,tv,lenient,50,0.0482,0.0634,1206025.8054,1585951.6510
Last 6 months,TX,tv,stringent,50,0.0274,0.0634,685251.8043,1585951.6510
Last 6 months,UT,tv,lenient,50,0.0368,0.0882,99689.1204,238938.5039
Last 6 months,UT,tv,stringent,50,0.0172,0.0882,46365.4341,238938.5039
Last 6 months,VA,tv,lenient,50,0.0822,0.0903,616065.9933,675775.2297
Last 6 months,VA,tv,stringent,50,0.0399,0.0903,298915.4717,675775.2297
Last 6 months,VT,tv,lenient,50,0.1030,0.0557,46243.8604,24801.3640
Last 6 months,VT,tv,stringent,50,0.0713,0.0557,32035.1607,24801.3640
