year,month,variable,archetype,value
2020,4,sizes,Partisan Cable (left),29440220.10000
2020,5,sizes,Partisan Cable (left),28945649.22581
2020,6,sizes,Partisan Cable (left),28718765.20000
2020,7,sizes,Partisan Cable (left),25737599.77419
2020,8,sizes,Partisan Cable (left),27862050.09677
2020,9,sizes,Partisan Cable (left),26635981.90000
2020,10,sizes,Partisan Cable (left),29572367.35484
2020,11,sizes,Partisan Cable (left),41648720.36667
2020,12,sizes,Partisan Cable (left),28845238.25806
2021,1,sizes,Partisan Cable (left),39319029.48387
2021,2,sizes,Partisan Cable (left),29195716.42857
2021,3,sizes,Partisan Cable (left),23528657.22581
2021,4,sizes,Partisan Cable (left),23572463.50000
2021,5,sizes,Partisan Cable (left),20471371.83871
2021,6,sizes,Partisan Cable (left),19980509.16667
2021,7,sizes,Partisan Cable (left),19690981.03226
2021,8,sizes,Partisan Cable (left),20724103.16129
2021,9,sizes,Partisan Cable (left),19175206.66667
2021,10,sizes,Partisan Cable (left),16702032.45161
2021,11,sizes,Partisan Cable (left),16793296.13333
2021,12,sizes,Partisan Cable (left),17819107.87097
2022,1,sizes,Partisan Cable (left),16254207.58065
2022,2,sizes,Partisan Cable (left),21008870.42857
2022,3,sizes,Partisan Cable (left),21830870.16129
2022,4,sizes,Partisan Cable (left),17416912.63333
