year,month,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct
2016,2,GA,web,stringent,75,0.002,0.005
2016,2,HI,tv,lenient,50,0.000,0.000
2016,2,HI,tv,lenient,75,0.000,0.000
2016,2,HI,tv,stringent,50,0.000,0.000
2016,2,HI,tv,stringent,75,0.000,0.000
2016,2,HI,web,lenient,50,0.008,0.003
2016,2,HI,web,lenient,75,0.002,0.000
2016,2,HI,web,stringent,50,0.001,0.002
2016,2,HI,web,stringent,75,0.001,0.000
2016,2,IA,tv,lenient,50,0.000,0.000
2016,2,IA,tv,lenient,75,0.000,0.000
2016,2,IA,tv,stringent,50,0.000,0.000
2016,2,IA,tv,stringent,75,0.000,0.000
2016,2,IA,web,lenient,50,0.021,0.024
2016,2,IA,web,lenient,75,0.012,0.015
2016,2,IA,web,stringent,50,0.012,0.007
2016,2,IA,web,stringent,75,0.010,0.005
2016,2,ID,tv,lenient,50,0.000,0.000
2016,2,ID,tv,lenient,75,0.000,0.000
2016,2,ID,tv,stringent,50,0.000,0.000
2016,2,ID,tv,stringent,75,0.000,0.000
2016,2,ID,web,lenient,50,0.013,0.026
2016,2,ID,web,lenient,75,0.002,0.011
2016,2,ID,web,stringent,50,0.007,0.012
2016,2,ID,web,stringent,75,0.001,0.008
2016,2,IL,tv,lenient,50,0.000,0.000
2016,2,IL,tv,lenient,75,0.000,0.000
2016,2,IL,tv,stringent,50,0.000,0.000
2016,2,IL,tv,stringent,75,0.000,0.000
2016,2,IL,web,lenient,50,0.039,0.018
2016,2,IL,web,lenient,75,0.016,0.011
2016,2,IL,web,stringent,50,0.013,0.008
2016,2,IL,web,stringent,75,0.009,0.005
2016,2,IN,tv,lenient,50,0.000,0.000
2016,2,IN,tv,lenient,75,0.000,0.000
2016,2,IN,tv,stringent,50,0.000,0.000
2016,2,IN,tv,stringent,75,0.000,0.000
2016,2,IN,web,lenient,50,0.017,0.024
2016,2,IN,web,lenient,75,0.012,0.021
2016,2,IN,web,stringent,50,0.008,0.009
2016,2,IN,web,stringent,75,0.007,0.004
2016,2,KS,tv,lenient,50,0.000,0.000
2016,2,KS,tv,lenient,75,0.000,0.000
2016,2,KS,tv,stringent,50,0.000,0.000
2016,2,KS,tv,stringent,75,0.000,0.000
2016,2,KS,web,lenient,50,0.025,0.024
2016,2,KS,web,lenient,75,0.007,0.015
2016,2,KS,web,stringent,50,0.008,0.016
2016,2,KS,web,stringent,75,0.001,0.007
2016,2,KY,tv,lenient,50,0.000,0.000
2016,2,KY,tv,lenient,75,0.000,0.000
2016,2,KY,tv,stringent,50,0.000,0.000
2016,2,KY,tv,stringent,75,0.000,0.000
2016,2,KY,web,lenient,50,0.019,0.019
2016,2,KY,web,lenient,75,0.011,0.011
2016,2,KY,web,stringent,50,0.013,0.009
2016,2,KY,web,stringent,75,0.006,0.005
2016,2,LA,tv,lenient,50,0.000,0.000
2016,2,LA,tv,lenient,75,0.000,0.000
2016,2,LA,tv,stringent,50,0.000,0.000
2016,2,LA,tv,stringent,75,0.000,0.000
2016,2,LA,web,lenient,50,0.011,0.011
2016,2,LA,web,lenient,75,0.005,0.003
2016,2,LA,web,stringent,50,0.007,0.009
2016,2,LA,web,stringent,75,0.003,0.003
2016,2,MA,tv,lenient,50,0.000,0.000
