year,month,medium,gender,age_group,ethnicity,political_lean,partisanship_scenario,diet_threshold,value
2018,5,tv,Male,18-24,All,L,lenient,50,0.049
2018,5,tv,Female,18-24,All,L,lenient,50,0.046
2018,5,tv,Male,25-34,All,L,lenient,50,0.054
2018,5,tv,Female,25-34,All,L,lenient,50,0.053
2018,5,tv,Male,35-44,All,L,lenient,50,0.078
2018,5,tv,Female,35-44,All,L,lenient,50,0.064
2018,5,tv,Male,45-54,All,L,lenient,50,0.091
2018,5,tv,Female,45-54,All,L,lenient,50,0.078
2018,5,tv,Male,55+,All,L,lenient,50,0.116
2018,5,tv,Female,55+,All,L,lenient,50,0.103
2018,6,tv,Male,18-24,All,L,lenient,50,0.046
2018,6,tv,Female,18-24,All,L,lenient,50,0.048
2018,6,tv,Male,25-34,All,L,lenient,50,0.055
2018,6,tv,Female,25-34,All,L,lenient,50,0.043
2018,6,tv,Male,35-44,All,L,lenient,50,0.075
2018,6,tv,Female,35-44,All,L,lenient,50,0.066
2018,6,tv,Male,45-54,All,L,lenient,50,0.089
2018,6,tv,Female,45-54,All,L,lenient,50,0.076
2018,6,tv,Male,55+,All,L,lenient,50,0.112
2018,6,tv,Female,55+,All,L,lenient,50,0.098
2018,7,tv,Male,18-24,All,L,lenient,50,0.048
2018,7,tv,Female,18-24,All,L,lenient,50,0.050
2018,7,tv,Male,25-34,All,L,lenient,50,0.058
2018,7,tv,Female,25-34,All,L,lenient,50,0.052
2018,7,tv,Male,35-44,All,L,lenient,50,0.082
2018,7,tv,Female,35-44,All,L,lenient,50,0.064
2018,7,tv,Male,45-54,All,L,lenient,50,0.104
2018,7,tv,Female,45-54,All,L,lenient,50,0.077
2018,7,tv,Male,55+,All,L,lenient,50,0.117
2018,7,tv,Female,55+,All,L,lenient,50,0.102
2018,8,tv,Male,18-24,All,L,lenient,50,0.054
2018,8,tv,Female,18-24,All,L,lenient,50,0.051
2018,8,tv,Male,25-34,All,L,lenient,50,0.063
2018,8,tv,Female,25-34,All,L,lenient,50,0.055
2018,8,tv,Male,35-44,All,L,lenient,50,0.084
2018,8,tv,Female,35-44,All,L,lenient,50,0.073
2018,8,tv,Male,45-54,All,L,lenient,50,0.103
2018,8,tv,Female,45-54,All,L,lenient,50,0.083
2018,8,tv,Male,55+,All,L,lenient,50,0.124
2018,8,tv,Female,55+,All,L,lenient,50,0.111
2018,9,tv,Male,18-24,All,L,lenient,50,0.056
2018,9,tv,Female,18-24,All,L,lenient,50,0.050
2018,9,tv,Male,25-34,All,L,lenient,50,0.059
2018,9,tv,Female,25-34,All,L,lenient,50,0.052
2018,9,tv,Male,35-44,All,L,lenient,50,0.078
2018,9,tv,Female,35-44,All,L,lenient,50,0.073
2018,9,tv,Male,45-54,All,L,lenient,50,0.102
2018,9,tv,Female,45-54,All,L,lenient,50,0.079
2018,9,tv,Male,55+,All,L,lenient,50,0.126
2018,9,tv,Female,55+,All,L,lenient,50,0.114
2018,10,tv,Male,18-24,All,L,lenient,50,0.047
2018,10,tv,Female,18-24,All,L,lenient,50,0.044
2018,10,tv,Male,25-34,All,L,lenient,50,0.060
2018,10,tv,Female,25-34,All,L,lenient,50,0.049
2018,10,tv,Male,35-44,All,L,lenient,50,0.076
2018,10,tv,Female,35-44,All,L,lenient,50,0.069
2018,10,tv,Male,45-54,All,L,lenient,50,0.098
2018,10,tv,Female,45-54,All,L,lenient,50,0.076
2018,10,tv,Male,55+,All,L,lenient,50,0.120
2018,10,tv,Female,55+,All,L,lenient,50,0.109
2018,11,tv,Male,18-24,All,L,lenient,50,0.060
2018,11,tv,Female,18-24,All,L,lenient,50,0.053
2018,11,tv,Male,25-34,All,L,lenient,50,0.076
2018,11,tv,Female,25-34,All,L,lenient,50,0.066
2018,11,tv,Male,35-44,All,L,lenient,50,0.100
2018,11,tv,Female,35-44,All,L,lenient,50,0.081
2018,11,tv,Male,45-54,All,L,lenient,50,0.103
2018,11,tv,Female,45-54,All,L,lenient,50,0.086
2018,11,tv,Male,55+,All,L,lenient,50,0.125
2018,11,tv,Female,55+,All,L,lenient,50,0.113
2018,12,tv,Male,18-24,All,L,lenient,50,0.055
2018,12,tv,Female,18-24,All,L,lenient,50,0.051
2018,12,tv,Male,25-34,All,L,lenient,50,0.069
2018,12,tv,Female,25-34,All,L,lenient,50,0.060
2018,12,tv,Male,35-44,All,L,lenient,50,0.090
2018,12,tv,Female,35-44,All,L,lenient,50,0.073
2018,12,tv,Male,45-54,All,L,lenient,50,0.102
2018,12,tv,Female,45-54,All,L,lenient,50,0.080
2018,12,tv,Male,55+,All,L,lenient,50,0.129
2018,12,tv,Female,55+,All,L,lenient,50,0.113
2019,1,tv,Male,18-24,All,L,lenient,50,0.057
2019,1,tv,Female,18-24,All,L,lenient,50,0.054
2019,1,tv,Male,25-34,All,L,lenient,50,0.075
2019,1,tv,Female,25-34,All,L,lenient,50,0.063
2019,1,tv,Male,35-44,All,L,lenient,50,0.092
2019,1,tv,Female,35-44,All,L,lenient,50,0.078
2019,1,tv,Male,45-54,All,L,lenient,50,0.105
2019,1,tv,Female,45-54,All,L,lenient,50,0.088
2019,1,tv,Male,55+,All,L,lenient,50,0.132
2019,1,tv,Female,55+,All,L,lenient,50,0.116
2019,2,tv,Male,18-24,All,L,lenient,50,0.050
2019,2,tv,Female,18-24,All,L,lenient,50,0.044
2019,2,tv,Male,25-34,All,L,lenient,50,0.064
2019,2,tv,Female,25-34,All,L,lenient,50,0.059
2019,2,tv,Male,35-44,All,L,lenient,50,0.083
2019,2,tv,Female,35-44,All,L,lenient,50,0.073
2019,2,tv,Male,45-54,All,L,lenient,50,0.103
2019,2,tv,Female,45-54,All,L,lenient,50,0.079
2019,2,tv,Male,55+,All,L,lenient,50,0.125
2019,2,tv,Female,55+,All,L,lenient,50,0.112
2019,3,tv,Male,18-24,All,L,lenient,50,0.051
2019,3,tv,Female,18-24,All,L,lenient,50,0.048
2019,3,tv,Male,25-34,All,L,lenient,50,0.059
2019,3,tv,Female,25-34,All,L,lenient,50,0.050
2019,3,tv,Male,35-44,All,L,lenient,50,0.075
2019,3,tv,Female,35-44,All,L,lenient,50,0.061
2019,3,tv,Male,45-54,All,L,lenient,50,0.092
2019,3,tv,Female,45-54,All,L,lenient,50,0.071
2019,3,tv,Male,55+,All,L,lenient,50,0.120
2019,3,tv,Female,55+,All,L,lenient,50,0.105
2019,4,tv,Male,18-24,All,L,lenient,50,0.043
2019,4,tv,Female,18-24,All,L,lenient,50,0.035
2019,4,tv,Male,25-34,All,L,lenient,50,0.055
2019,4,tv,Female,25-34,All,L,lenient,50,0.048
2019,4,tv,Male,35-44,All,L,lenient,50,0.073
2019,4,tv,Female,35-44,All,L,lenient,50,0.057
2019,4,tv,Male,45-54,All,L,lenient,50,0.087
2019,4,tv,Female,45-54,All,L,lenient,50,0.072
2019,4,tv,Male,55+,All,L,lenient,50,0.116
2019,4,tv,Female,55+,All,L,lenient,50,0.106
