archetype,delta,start year,start month,end year,end month
Hard Broadcast News,-13708946,2016,1,2023,1
Soft Broadcast News,-24580050,2016,1,2023,1
Partisan Cable (right),-368609,2016,1,2023,1
Partisan Cable (left),-1224163,2016,1,2023,1
Spanish News,-5971257,2016,1,2023,1
Other Cable,-3786208,2016,1,2023,1
No or Minimal News,70461696,2016,1,2023,2
Hard Broadcast News,-16434689,2016,1,2023,2
Soft Broadcast News,-25083680,2016,1,2023,2
Partisan Cable (right),-241259,2016,1,2023,2
Partisan Cable (left),-2538353,2016,1,2023,2
Spanish News,-6437493,2016,1,2023,2
Other Cable,-4623449,2016,1,2023,2
No or Minimal News,68918349,2016,1,2023,3
Hard Broadcast News,-15145407,2016,1,2023,3
Soft Broadcast News,-25514961,2016,1,2023,3
Partisan Cable (right),-458466,2016,1,2023,3
Partisan Cable (left),-2550082,2016,1,2023,3
Spanish News,-6666972,2016,1,2023,3
Other Cable,-3563549,2016,1,2023,3
No or Minimal News,71298270,2016,1,2023,4
