state,program,network,period,value,medium
IL,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,907234,tv
OH,60 MINUTES,CBS  Affiliates,Last month,906942,tv
CA,NOTICIAS TELEMUNDO,Telemundo Affiliates,Last month,891261,tv
IL,60 MINUTES,CBS  Affiliates,Last month,886172,tv
PA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,884909,tv
FL,CNN NEWSROOM,CNN,Last month,867083,tv
CA,TODAY SHOW,NBC Affiliates,Last month,865616,tv
OH,CBS EVENING NEWS,CBS  Affiliates,Last month,829563,tv
FL,NOTICIAS TELEMUNDO,Telemundo Affiliates,Last month,828656,tv
TN,NBC NIGHTLY NEWS,NBC Affiliates,Last month,828127,tv
TX,CNN NEWSROOM,CNN,Last month,819594,tv
GA,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,816583,tv
NY,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,807714,tv
TX,NOTICIAS TELEMUNDO,Telemundo Affiliates,Last month,792309,tv
NY,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,780793,tv
MI,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,763900,tv
FL,CBS EVENING NEWS,CBS  Affiliates,Last month,755857,tv
OH,TODAY SHOW,NBC Affiliates,Last month,745673,tv
FL,"FIVE, THE",FOXNC,Last month,744839,tv
VA,TODAY SHOW,NBC Affiliates,Last month,740253,tv
WI,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,734199,tv
LA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,725332,tv
MI,60 MINUTES,CBS  Affiliates,Last month,709642,tv
VA,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,708585,tv
NC,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,704427,tv
IN,NBC NIGHTLY NEWS,NBC Affiliates,Last month,704358,tv
PA,TODAY SHOW,NBC Affiliates,Last month,690659,tv
NJ,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,682064,tv
MO,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,680078,tv
TN,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,679024,tv
SC,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,677235,tv
NC,60 MINUTES,CBS  Affiliates,Last month,670685,tv
IL,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,665326,tv
NJ,60 MINUTES,CBS  Affiliates,Last month,660839,tv
MI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,660292,tv
OH,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,637983,tv
NC,TODAY SHOW,NBC Affiliates,Last month,635693,tv
MA,60 MINUTES,CBS  Affiliates,Last month,621096,tv
MI,CBS EVENING NEWS,CBS  Affiliates,Last month,615389,tv
IL,TODAY SHOW,NBC Affiliates,Last month,610010,tv
MI,TODAY SHOW,NBC Affiliates,Last month,605864,tv
TN,60 MINUTES,CBS  Affiliates,Last month,600723,tv
MO,NBC NIGHTLY NEWS,NBC Affiliates,Last month,597531,tv
WI,60 MINUTES,CBS  Affiliates,Last month,597175,tv
NJ,NBC NIGHTLY NEWS,NBC Affiliates,Last month,596968,tv
NC,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,596870,tv
MA,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,593749,tv
NJ,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,588193,tv
IN,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,587980,tv
PA,CBS EVENING NEWS,CBS  Affiliates,Last month,581789,tv
TN,CBS EVENING NEWS,CBS  Affiliates,Last month,580104,tv
VA,60 MINUTES,CBS  Affiliates,Last month,577286,tv
IL,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,575074,tv
OK,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,569652,tv
VA,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,567832,tv
GA,NBC NIGHTLY NEWS,NBC Affiliates,Last month,556454,tv
WA,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,550951,tv
MI,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,548882,tv
IA,NBC NIGHTLY NEWS,NBC Affiliates,Last month,547278,tv
MN,NBC NIGHTLY NEWS,NBC Affiliates,Last month,529249,tv
SC,NBC NIGHTLY NEWS,NBC Affiliates,Last month,517561,tv
PA,CNN NEWSROOM,CNN,Last month,514104,tv
MD,NBC NIGHTLY NEWS,NBC Affiliates,Last month,512909,tv
MD,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,507813,tv
AL,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,503492,tv
TN,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,494724,tv
PA,TUCKER CARLSON TONIGHT,FOXNC,Last month,493101,tv
TN,TODAY SHOW,NBC Affiliates,Last month,490914,tv
IL,CBS EVENING NEWS,CBS  Affiliates,Last month,490225,tv
MO,CBS EVENING NEWS,CBS  Affiliates,Last month,484641,tv
PA,HANNITY,FOXNC,Last month,482529,tv
WI,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,482073,tv
SC,TODAY SHOW,NBC Affiliates,Last month,478771,tv
GA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,475810,tv
TN,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,475033,tv
OH,CBS SATURDAY MORNING,CBS  Affiliates,Last month,474222,tv
OH,SUNDAY MORNING,CBS  Affiliates,Last month,474008,tv
OH,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,473202,tv
MO,60 MINUTES,CBS  Affiliates,Last month,469406,tv
KY,NBC NIGHTLY NEWS,NBC Affiliates,Last month,467534,tv
AZ,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,460606,tv
TN,SUNDAY MORNING,CBS  Affiliates,Last month,459761,tv
NC,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,458808,tv
VA,CBS EVENING NEWS,CBS  Affiliates,Last month,458585,tv
KY,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,455704,tv
NC,CNN NEWSROOM,CNN,Last month,455524,tv
AZ,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,455522,tv
MD,60 MINUTES,CBS  Affiliates,Last month,451953,tv
CT,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,447381,tv
MA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,447375,tv
MI,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,446157,tv
MA,NBC NIGHTLY NEWS,NBC Affiliates,Last month,445877,tv
MN,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,444992,tv
VA,CNN NEWSROOM,CNN,Last month,444690,tv
AL,NBC NIGHTLY NEWS,NBC Affiliates,Last month,443357,tv
IN,TODAY SHOW,NBC Affiliates,Last month,441440,tv
CO,NBC NIGHTLY NEWS,NBC Affiliates,Last month,441326,tv
WI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,439624,tv
WI,NBC NIGHTLY NEWS,NBC Affiliates,Last month,438371,tv
NJ,CNN NEWSROOM,CNN,Last month,431049,tv
GA,CNN NEWSROOM,CNN,Last month,426073,tv
TN,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,423716,tv
IL,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,416998,tv
GA,60 MINUTES,CBS  Affiliates,Last month,415973,tv
LA,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,413762,tv
MA,CNN NEWSROOM,CNN,Last month,410970,tv
IL,CNN NEWSROOM,CNN,Last month,407101,tv
LA,CBS EVENING NEWS,CBS  Affiliates,Last month,406843,tv
IN,60 MINUTES,CBS  Affiliates,Last month,406117,tv
NC,CBS EVENING NEWS,CBS  Affiliates,Last month,403983,tv
CO,60 MINUTES,CBS  Affiliates,Last month,403639,tv
MN,60 MINUTES,CBS  Affiliates,Last month,398833,tv
SC,CBS EVENING NEWS,CBS  Affiliates,Last month,384023,tv
NJ,"FIVE, THE",FOXNC,Last month,383468,tv
NJ,SUNDAY MORNING,CBS  Affiliates,Last month,383023,tv
NJ,TUCKER CARLSON TONIGHT,FOXNC,Last month,383018,tv
MA,CBS EVENING NEWS,CBS  Affiliates,Last month,382032,tv
IN,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,381361,tv
MI,SUNDAY MORNING,CBS  Affiliates,Last month,379689,tv
IA,TODAY SHOW,NBC Affiliates,Last month,376983,tv
LA,NBC NIGHTLY NEWS,NBC Affiliates,Last month,373710,tv
MN,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,369196,tv
MO,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,368807,tv
AL,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,368438,tv
OK,CBS EVENING NEWS,CBS  Affiliates,Last month,367298,tv
NC,SUNDAY MORNING,CBS  Affiliates,Last month,365833,tv
MI,CNN NEWSROOM,CNN,Last month,362904,tv
VA,TODAY HODA & JENNA,NBC Affiliates,Last month,358439,tv
IN,CBS EVENING NEWS,CBS  Affiliates,Last month,358034,tv
NJ,HANNITY,FOXNC,Last month,357289,tv
MO,SUNDAY MORNING,CBS  Affiliates,Last month,356565,tv
WA,NBC NIGHTLY NEWS,NBC Affiliates,Last month,355371,tv
VA,CBS SATURDAY MORNING,CBS  Affiliates,Last month,353560,tv
LA,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,352674,tv
MO,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,347352,tv
AL,TODAY SHOW,NBC Affiliates,Last month,346527,tv
GA,GMA NSNA,ABC Affiliates,Last month,345676,tv
KY,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,344965,tv
GA,TODAY SHOW,NBC Affiliates,Last month,341319,tv
MO,TODAY SHOW,NBC Affiliates,Last month,339152,tv
WI,CBS EVENING NEWS,CBS  Affiliates,Last month,338997,tv
GA,DATELINE: SECRETS UNCOVRD,OXYG,Last month,338248,tv
CT,60 MINUTES,CBS  Affiliates,Last month,337926,tv
LA,60 MINUTES,CBS  Affiliates,Last month,337715,tv
KS,60 MINUTES,CBS  Affiliates,Last month,335922,tv
SC,60 MINUTES,CBS  Affiliates,Last month,335890,tv
GA,CBS EVENING NEWS,CBS  Affiliates,Last month,333996,tv
LA,TODAY SHOW,NBC Affiliates,Last month,330671,tv
CT,NBC NIGHTLY NEWS,NBC Affiliates,Last month,328142,tv
AL,CBS EVENING NEWS,CBS  Affiliates,Last month,325498,tv
AR,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,324538,tv
MN,TODAY SHOW,NBC Affiliates,Last month,316060,tv
AR,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,316016,tv
CT,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,313051,tv
SC,CBS SATURDAY MORNING,CBS  Affiliates,Last month,312936,tv
IN,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,306246,tv
ID,NBC NIGHTLY NEWS,NBC Affiliates,Last month,306149,tv
OR,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,304597,tv
MN,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,303297,tv
OK,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,302752,tv
KY,TODAY SHOW,NBC Affiliates,Last month,302453,tv
CO,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,301583,tv
OK,NBC NIGHTLY NEWS,NBC Affiliates,Last month,301119,tv
MD,TODAY SHOW,NBC Affiliates,Last month,300895,tv
KY,CBS EVENING NEWS,CBS  Affiliates,Last month,299218,tv
KY,60 MINUTES,CBS  Affiliates,Last month,298247,tv
AZ,CNN NEWSROOM,CNN,Last month,290207,tv
AZ,NBC NIGHTLY NEWS,NBC Affiliates,Last month,289836,tv
NM,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,289066,tv
KY,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,287924,tv
MA,SUNDAY MORNING,CBS  Affiliates,Last month,286798,tv
MS,TODAY SHOW,NBC Affiliates,Last month,286782,tv
MN,SUNDAY MORNING,CBS  Affiliates,Last month,286041,tv
MD,CBS EVENING NEWS,CBS  Affiliates,Last month,285074,tv
ME,NBC NIGHTLY NEWS,NBC Affiliates,Last month,284307,tv
NV,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,282878,tv
MA,TODAY SHOW,NBC Affiliates,Last month,279535,tv
AL,60 MINUTES,CBS  Affiliates,Last month,279052,tv
AZ,60 MINUTES,CBS  Affiliates,Last month,278352,tv
IN,SUNDAY MORNING,CBS  Affiliates,Last month,272862,tv
MO,CBS SATURDAY MORNING,CBS  Affiliates,Last month,271481,tv
MS,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,270837,tv
MA,20/20-FRI,ABC Affiliates,Last month,270324,tv
MN,CBS EVENING NEWS,CBS  Affiliates,Last month,269340,tv
NH,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,267188,tv
MO,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,266675,tv
MS,NBC NIGHTLY NEWS,NBC Affiliates,Last month,266479,tv
MD,CNN NEWSROOM,CNN,Last month,262867,tv
RI,NBC NIGHTLY NEWS,NBC Affiliates,Last month,262662,tv
IA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,262291,tv
LA,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,259423,tv
CO,TODAY SHOW,NBC Affiliates,Last month,256802,tv
WA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,256245,tv
OK,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,254921,tv
AL,AMERICAS NEWSROOM,FOXNC,Last month,254874,tv
AL,TUCKER CARLSON TONIGHT,FOXNC,Last month,254721,tv
CO,SUNDAY MORNING,CBS  Affiliates,Last month,253636,tv
MN,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,251696,tv
WA,CBS EVENING NEWS,CBS  Affiliates,Last month,251339,tv
AZ,CBS EVENING NEWS,CBS  Affiliates,Last month,246674,tv
KY,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,244998,tv
WI,TODAY SHOW,NBC Affiliates,Last month,244189,tv
OK,60 MINUTES,CBS  Affiliates,Last month,243852,tv
WA,60 MINUTES,CBS  Affiliates,Last month,243274,tv
CT,CBS EVENING NEWS,CBS  Affiliates,Last month,241151,tv
CO,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,240505,tv
SC,TUCKER CARLSON TONIGHT,FOXNC,Last month,240103,tv
AZ,TODAY SHOW,NBC Affiliates,Last month,239100,tv
KS,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,238813,tv
AL,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,238385,tv
AL,HANNITY,FOXNC,Last month,237628,tv
NV,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,232473,tv
WI,SUNDAY MORNING,CBS  Affiliates,Last month,232082,tv
LA,"STORY, THE",FOXNC,Last month,231639,tv
IN,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,229746,tv
CO,CBS EVENING NEWS,CBS  Affiliates,Last month,229522,tv
LA,AMERICAS NEWSROOM,FOXNC,Last month,229327,tv
SC,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,228456,tv
WV,NBC NIGHTLY NEWS,NBC Affiliates,Last month,226811,tv
MD,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,225119,tv
MS,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,223828,tv
KY,SUNDAY MORNING,CBS  Affiliates,Last month,222577,tv
AR,60 MINUTES,CBS  Affiliates,Last month,222157,tv
SC,"FIVE, THE",FOXNC,Last month,222077,tv
SC,JESSE WATTERS PRIMETIME,FOXNC,Last month,219193,tv
MD,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,218076,tv
MD,SUNDAY MORNING,CBS  Affiliates,Last month,217694,tv
IN,CBS SATURDAY MORNING,CBS  Affiliates,Last month,215865,tv
IA,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,215196,tv
CO,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,214504,tv
OK,TODAY SHOW,NBC Affiliates,Last month,214270,tv
KY,CBS SATURDAY MORNING,CBS  Affiliates,Last month,214249,tv
CT,TODAY SHOW,NBC Affiliates,Last month,213126,tv
KS,CBS EVENING NEWS,CBS  Affiliates,Last month,210590,tv
IA,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,210494,tv
MD,CBS SATURDAY MORNING,CBS  Affiliates,Last month,206071,tv
NH,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,205953,tv
RI,TODAY SHOW,NBC Affiliates,Last month,205551,tv
CT,SUNDAY MORNING,CBS  Affiliates,Last month,204220,tv
AR,CBS EVENING NEWS,CBS  Affiliates,Last month,203503,tv
WI,DATELINE: SECRETS UNCOVRD,OXYG,Last month,202880,tv
WI,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,201290,tv
WA,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,200356,tv
AR,NBC NIGHTLY NEWS,NBC Affiliates,Last month,199516,tv
MN,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,198465,tv
IA,TODAY THIRD HOUR,NBC Affiliates,Last month,197842,tv
AR,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,196301,tv
SD,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,194580,tv
ME,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,194253,tv
UT,NBC NIGHTLY NEWS,NBC Affiliates,Last month,193880,tv
WV,TODAY SHOW,NBC Affiliates,Last month,191501,tv
AZ,HANNITY,FOXNC,Last month,190920,tv
CT,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,187923,tv
NE,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,184552,tv
KS,NBC NIGHTLY NEWS,NBC Affiliates,Last month,182984,tv
NV,NBC NIGHTLY NEWS,NBC Affiliates,Last month,182886,tv
AZ,TUCKER CARLSON TONIGHT,FOXNC,Last month,182840,tv
ME,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,182043,tv
AZ,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,178903,tv
NM,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,177419,tv
UT,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,176723,tv
NM,TODAY SHOW,NBC Affiliates,Last month,172827,tv
OK,TUCKER CARLSON TONIGHT,FOXNC,Last month,171591,tv
IA,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,171110,tv
CO,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,170957,tv
CT,CBS SATURDAY MORNING,CBS  Affiliates,Last month,170626,tv
OK,HANNITY,FOXNC,Last month,169366,tv
CT,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,169328,tv
WA,DATELINE: SECRETS UNCOVRD,OXYG,Last month,167769,tv
NM,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,166885,tv
ME,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,166350,tv
MS,TODAY HODA & JENNA,NBC Affiliates,Last month,166097,tv
IA,CBS EVENING NEWS,CBS  Affiliates,Last month,165104,tv
WA,HANNITY,FOXNC,Last month,164038,tv
HI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,163471,tv
WA,TUCKER CARLSON TONIGHT,FOXNC,Last month,163346,tv
OR,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,161873,tv
ME,60 MINUTES,CBS  Affiliates,Last month,161383,tv
WA,CBS WEEKEND NEWS-SUN,CBS  Affiliates,Last month,161109,tv
IA,TODAY HODA & JENNA,NBC Affiliates,Last month,160572,tv
ME,TODAY SHOW,NBC Affiliates,Last month,160326,tv
NV,CNN NEWSROOM,CNN,Last month,159162,tv
OR,NBC NIGHTLY NEWS,NBC Affiliates,Last month,159055,tv
MS,CBS EVENING NEWS,CBS  Affiliates,Last month,158032,tv
NM,CBS EVENING NEWS,CBS  Affiliates,Last month,156885,tv
MT,SUNDAY MORNING,CBS  Affiliates,Last month,156859,tv
IA,FOX AND FRIENDS,FOXNC,Last month,154816,tv
NV,TODAY SHOW,NBC Affiliates,Last month,153733,tv
OK,SUNDAY MORNING,CBS  Affiliates,Last month,152736,tv
NE,TUCKER CARLSON TONIGHT,FOXNC,Last month,151218,tv
NM,NBC NIGHTLY NEWS,NBC Affiliates,Last month,150833,tv
SD,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,148132,tv
ME,CBS EVENING NEWS,CBS  Affiliates,Last month,147747,tv
NE,"INGRAHAM ANGLE, THE",FOXNC,Last month,146124,tv
NE,HANNITY,FOXNC,Last month,144491,tv
CO,DATELINE: SECRETS UNCOVRD,OXYG,Last month,143963,tv
NV,TUCKER CARLSON TONIGHT,FOXNC,Last month,141831,tv
NV,HANNITY,FOXNC,Last month,139825,tv
RI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,139259,tv
AR,JESSE WATTERS PRIMETIME,FOXNC,Last month,138958,tv
MT,TODAY SHOW,NBC Affiliates,Last month,138954,tv
NM,60 MINUTES,CBS  Affiliates,Last month,138929,tv
HI,CBS EVENING NEWS,CBS  Affiliates,Last month,136415,tv
WV,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,134865,tv
NM,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,133739,tv
VT,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,133047,tv
MT,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,132776,tv
NV,CBS EVENING NEWS,CBS  Affiliates,Last month,131567,tv
VT,NBC NIGHTLY NEWS,NBC Affiliates,Last month,131037,tv
KS,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,128340,tv
AR,SUNDAY MORNING,CBS  Affiliates,Last month,127661,tv
OR,PBS NEWSHOUR,All PBS Stations,Last month,126462,tv
OR,CNN NEWSROOM,CNN,Last month,126425,tv
MS,DATELINE: SECRETS UNCOVRD,OXYG,Last month,126330,tv
AR,CBS SATURDAY MORNING,CBS  Affiliates,Last month,125893,tv
NV,"INGRAHAM ANGLE, THE",FOXNC,Last month,123766,tv
SD,CBS EVENING NEWS,CBS  Affiliates,Last month,123598,tv
ME,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,122019,tv
AR,FOX NEWS LIVE,FOXNC,Last month,121463,tv
NM,SUNDAY MORNING,CBS  Affiliates,Last month,121424,tv
SD,FS FILES MON 7P,Court TV Mystery,Last month,120367,tv
OR,PBS NEWSHOUR,PBS Primary Network Affiliates,Last month,119429,tv
NE,NBC NIGHTLY NEWS,NBC Affiliates,Last month,118820,tv
OR,60 MINUTES,CBS  Affiliates,Last month,118537,tv
NE,SPECIAL RPT W/BRET BAIER,FOXNC,Last month,118429,tv
UT,60 MINUTES,CBS  Affiliates,Last month,118317,tv
NE,60 MINUTES,CBS  Affiliates,Last month,118221,tv
RI,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,117422,tv
UT,SUNDAY MORNING,CBS  Affiliates,Last month,115922,tv
WY,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,114914,tv
UT,TODAY SHOW,NBC Affiliates,Last month,114571,tv
UT,HANNITY,FOXNC,Last month,113627,tv
WV,60 MINUTES,CBS  Affiliates,Last month,113513,tv
NV,AMERICA REPORTS,FOXNC,Last month,112979,tv
WV,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,112313,tv
MS,NBC NEWS DAILY,NBC Affiliates,Last month,112152,tv
UT,CBS EVENING NEWS,CBS  Affiliates,Last month,111163,tv
ID,TUCKER CARLSON TONIGHT,FOXNC,Last month,111043,tv
KS,SUNDAY MORNING,CBS  Affiliates,Last month,110806,tv
NE,GUTFELD!,FOXNC,Last month,110624,tv
NE,AMERICA REPORTS,FOXNC,Last month,110494,tv
MS,60 MINUTES,CBS  Affiliates,Last month,109985,tv
WV,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,108410,tv
UT,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,108383,tv
MT,CBS EVENING NEWS,CBS  Affiliates,Last month,107495,tv
NE,JESSE WATTERS PRIMETIME,FOXNC,Last month,106284,tv
RI,60 MINUTES,CBS  Affiliates,Last month,105859,tv
DE,60 MINUTES,CBS  Affiliates,Last month,105043,tv
VT,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,104948,tv
MS,20/20-FRI,ABC Affiliates,Last month,104777,tv
RI,TODAY THIRD HOUR,NBC Affiliates,Last month,104561,tv
RI,CBS EVENING NEWS,CBS  Affiliates,Last month,104367,tv
UT,TUCKER CARLSON TONIGHT,FOXNC,Last month,103800,tv
KS,"GOOD MORNING, AMERICA",ABC Affiliates,Last month,102000,tv
VT,CBS EVENING NEWS,CBS  Affiliates,Last month,101317,tv
KS,TODAY SHOW,NBC Affiliates,Last month,99869,tv
KS,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,99715,tv
SD,SUNDAY MORNING,CBS  Affiliates,Last month,99663,tv
KS,SPECIAL RPT W/BRET BAIER,FOXNC,Last month,98187,tv
ME,DATELINE: SECRETS UNCOVRD,OXYG,Last month,97730,tv
DE,NBC NIGHTLY NEWS,NBC Affiliates,Last month,97065,tv
HI,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,96924,tv
ND,NBC NIGHTLY NEWS,NBC Affiliates,Last month,96864,tv
UT,DATELINE: SECRETS UNCOVRD,OXYG,Last month,96613,tv
OR,TUCKER CARLSON TONIGHT,FOXNC,Last month,95903,tv
OR,HANNITY,FOXNC,Last month,93398,tv
DE,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,93089,tv
ID,JESSE WATTERS PRIMETIME,FOXNC,Last month,93007,tv
NM,CNN NEWSROOM,CNN,Last month,92610,tv
ME,CBS SATURDAY MORNING,CBS  Affiliates,Last month,92308,tv
VT,TODAY SHOW,NBC Affiliates,Last month,92125,tv
MT,NBC NIGHTLY NEWS,NBC Affiliates,Last month,90939,tv
OR,TODAY SHOW,NBC Affiliates,Last month,90512,tv
SD,60 MINUTES,CBS  Affiliates,Last month,90122,tv
SD,CBS SATURDAY MORNING,CBS  Affiliates,Last month,89183,tv
RI,CBS SATURDAY MORNING,CBS  Affiliates,Last month,88949,tv
ID,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,86489,tv
ID,HANNITY,FOXNC,Last month,86045,tv
HI,11TH HOUR W/B. WILLIAMS,MSNBC,Last month,85005,tv
RI,SATURDAY TODAY,NBC Affiliates,Last month,81399,tv
VT,60 MINUTES,CBS  Affiliates,Last month,80688,tv
RI,SUNDAY MORNING,CBS  Affiliates,Last month,80521,tv
AK,NBC NIGHTLY NEWS,NBC Affiliates,Last month,78952,tv
ID,SPECIAL RPT W/BRET BAIER,FOXNC,Last month,78674,tv
ID,"FIVE, THE",FOXNC,Last month,78641,tv
WV,TODAY THIRD HOUR,NBC Affiliates,Last month,78407,tv
NH,GMA NSNA,ABC Affiliates,Last month,76706,tv
WV,TODAY HODA & JENNA,NBC Affiliates,Last month,75803,tv
HI,CNN NEWSROOM,CNN,Last month,75111,tv
SD,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,74982,tv
HI,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,74168,tv
MT,60 MINUTES,CBS  Affiliates,Last month,73335,tv
ID,AMERICA REPORTS,FOXNC,Last month,71541,tv
